imo,capacity
8012267,0
9116761,0
9974022,0
9402732,0
8127335,0
9172571,0
9493688,0
9248485,0
9237486,0
9848194,0
9850252,0
8899976,0
8102268,0
9626974,0
9058921,0
9996915,0
9454424,0
7703778,0
9262522,0
9494228,0
5259412,0
9291353,0
9362372,0
9708590,0
9296298,0
1099137,0
9267675,0
7808621,0
8720852,0
9986623,0
6611916,0
9429871,0
9544774,0
9034236,0
9573268,0
8303939,0
9507350,0
9822451,0
1050870,0
9949687,0
9498949,0
7423732,0
9548158,0
9176474,0
9675559,0
8657744,0
9339600,0
7638337,0
9532795,0
9384007,0
6615699,0
9496692,0
9666845,0
9347140,0
9331529,0
9976824,0
7816484,0
9530917,0
8121953,0
8649967,0
9221023,0
9742118,0
9888003,0
9736389,0
9624445,0
8421963,0
9374002,0
1027964,0
9499436,0
9539327,0
9302695,0
1061441,0
9505924,0
9108037,0
9542453,0
9278600,0
8316211,0
9288588,0
1061154,0
9413420,0
8928870,0
9421829,0
9630418,0
8714994,0
9983578,0
9223186,0
9406269,0
9315367,0
9975375,0
9387700,0
9638525,0
8312095,0
9991044,0
3544710,0
9422835,0
7700934,0
9663013,0
9015709,0
9060728,0
9724594,0
9348297,0
9726188,0
9443877,0
9462158,0
9757462,0
9674866,0
9889057,0
8650007,0
9154505,0
7913505,0
9800453,0
7637553,0
9690573,0
9775763,0
9298076,0
9476642,0
9398668,0
9233868,0
9656400,0
9362700,0
8867428,0
8100741,0
9104251,0
1066116,0
9657507,0
9528562,0
8025135,0
9346706,0
9452191,0
1343564,0
9451484,0
9555101,0
9815329,0
1131466,0
7915395,0
9446532,0
1056642,0
9242649,0
9892822,0
9782027,0
9965423,0
9806770,0
9675078,0
9883259,0
8777128,0
9709001,0
9982419,0
9368895,0
1105340,0
9222742,0
9294159,0
9072769,0
9617404,0
9416111,0
8889294,0
9340051,0
9816191,0
9230127,0
9383895,0
1014307,0
9984728,0
8711112,0
8412950,0
9214123,0
9477907,0
9953793,0
9500261,0
9935662,0
9528677,0
9419802,0
8972261,0
9910909,0
9299563,0
9666481,0
9275361,0
7346893,0
8615124,0
9231212,0
8812801,0
9845661,0
9592032,0
7504598,0
9269257,0
9061136,0
9907005,0
8876182,0
8208397,0
9573878,0
8579277,0
1074450,0
9435387,0
9907299,0
8138839,0
9388534,0
9604005,0
9596179,0
9677325,0
9569633,0
9975612,0
8605129,0
9290103,0
9237539,0
8509454,0
9934266,0
8316431,0
9037135,0
9794068,0
8300731,0
9174488,0
7374448,0
8859495,0
7813925,0
9555175,0
9609495,0
9387102,0
9739525,0
7909865,0
9735000,0
9486946,0
9216339,0
9367877,0
9968140,0
9738375,0
9765457,0
1077189,0
1095234,0
7359199,0
9131826,0
9802102,0
9870666,0
9616852,0
9339947,0
9307396,0
9226114,0
8862820,0
9033842,0
8975976,0
9593414,0
7902922,0
9696046,0
9405461,0
9444730,0
9916771,0
9004188,0
9801732,0
9536454,0
9196917,0
8892904,0
1070832,0
7708948,0
9943372,0
9419747,0
9690157,0
9625607,0
9235593,0
9841237,0
1046295,0
9539535,0
8513637,0
9421659,0
9552044,0
9041095,0
9944508,0
9966831,0
9655779,0
9804447,0
1069003,0
7608710,0
9757929,0
9072757,0
9270684,0
1015583,0
8739011,0
9947225,0
9796559,0
9252058,0
9950088,0
9117820,0
9272955,0
8719413,0
9399624,0
9600190,0
9516258,0
8300975,0
9651096,0
8614223,0
9221786,0
9718806,0
9342621,0
9986910,0
8654730,0
9734680,0
9120231,0
9647162,0
9133032,0
9264128,0
9159074,0
9732412,0
9744958,0
8618437,0
9405564,0
8019514,0
7433098,0
9615353,0
9903827,0
9430612,0
9902574,0
9778806,0
9914228,0
8805585,0
9845817,0
9434565,0
9784245,0
9785665,0
6159463,0
9538464,0
3558412,0
9129043,0
1034553,0
9625968,0
9035424,0
8420062,0
8591885,0
9567544,0
8904460,0
8872538,0
8602945,0
7120469,0
9335147,0
8401248,0
9335185,0
9947897,0
9111618,0
9437634,0
9363156,0
1090480,0
8517047,0
9908140,0
9612894,0
9198240,0
9679892,0
1086324,0
9307267,0
8129606,0
9188984,0
9485021,0
8404654,0
9746786,0
8701002,0
8121599,0
9301720,0
1084596,0
9202168,0
9031430,0
9253208,0
9592458,0
9205627,0
9653379,0
8741806,0
9292498,0
8015568,0
9364758,0
1036525,0
1040332,0
9464895,0
9554030,0
8858922,0
7607792,0
8408703,0
8224004,0
9852365,0
9808156,0
9556430,0
9956800,0
9780653,0
9600592,0
8514629,0
9181493,0
8212659,0
1028231,0
9223435,0
1068891,0
9945344,0
9997361,0
8132835,0
9168893,0
9911044,0
9276339,0
7119965,0
8213603,0
8108573,0
7526857,0
8711083,0
9288291,0
9041423,0
9560936,0
9493937,0
9303871,0
9709635,0
9165487,0
9226815,0
9412880,0
9326512,0
9492945,0
8505848,0
9576923,0
8611219,0
1018872,0
7904877,0
9355288,0
8592310,0
9908451,0
8891376,0
9163520,0
9238777,0
7820241,0
9344148,0
7411600,0
9852377,0
9252060,0
9997012,0
9189861,0
8682464,0
9342671,0
7905039,0
9155963,0
9005106,0
9935064,0
9125712,0
9637181,0
9864318,0
9736286,0
9000716,0
8360640,0
9875276,0
9191761,0
6505325,0
9990832,0
9906726,0
9492608,0
7231086,0
9072214,0
8902797,0
9301184,0
9622758,0
9661429,0
8013120,0
9437220,0
9250191,0
9959412,0
9332066,0
9490741,0
9458470,0
8906834,0
8304311,0
9040003,0
9331646,0
7204734,0
9719410,0
9672222,0
9409613,0
9623362,0
8405012,0
9348431,0
9051686,0
8772556,0
9798179,0
9076272,0
9460825,0
9225562,0
9685449,0
