imo,seaport_id
8012267,GBWOR
9116761,GBROY
8788397,SEOEN
9002075,FRLPE
9974022,
9402732,
8998007,SEOEN
9807255,KRYOS
8127335,
9172571,
9493688,USBCG
9248485,HKHKG
9237486,CNDAL
9570321,SADMM
9529011,NGONN
8918564,
9797163,
9848194,CNQZH
9850252,
9839533,NODRG
8899976,SEKAF
8102268,
9626974,SGJUR
9058921,
9996915,
9454424,MYXPQ
8921937,USIYH
7703778,IDKUA
9262522,RUKZP
9494228,AUNTL
7390765,USFOC
8857564,
5259412,
9291353,
8949941,
9362372,ITRAN
9427677,MYKEM
8011732,CAQUE
9708590,SGJUR
9296298,CNXAM
7827380,TRYIK
9196541,NLELX
1099137,SGJUR
9162863,USORF
9267675,JPYOK
7525205,DECUX
9557757,
7808621,
7366855,
8720852,FRUSJ
9986623,QARLF
8635667,USBTR
6611916,TRNEM
8980919,PRSIG
9429871,HKHKG
9197363,USILG
9315666,
9544774,VNSGN
9186053,GRSKG
9034236,AEDAS
9573268,MYLUM
5380417,EEAAK
8303939,
7508996,
9507350,NOSKN
9822451,
1050870,CNXAM
9949687,CNTAG
9498949,MYTPP
7726782,PLGDY
7423732,MTMLA
9744295,ITIMP
9927328,CNSYA
9548158,OMSLL
9176474,TRISK
9675559,NOOOS
8657744,INHZA
9339600,CNNGB
5171189,FRAYW
7638337,GRZTH
9686522,PYASU
9532795,
9384007,PHSFS
6615699,
9496692,GBSOW
9654842,NOREE
9880881,NOREE
8207707,ESCEU
9666845,
1109968,
9347140,
9689500,
9373840,VNPHU
9869825,
9331529,SDPZU
9976824,KRICH
7816484,INBHU
9530917,EGSCN
8121953,
8649967,SGJUR
7505970,USBDB
9549061,KRPTK
9221023,SGJUR
9742118,JPYAT
7528477,
9495428,
8847894,USPOB
9888003,BRSFS
9736389,JPOSA
9342451,SEGOT
9135157,
9624445,GNBFA
9503328,SGJUR
8421963,IDKUA
9513828,
9100360,JPTYO
9374002,
9709570,IDJPU
8976528,USHOU
1027964,JPWAK
5310905,NOSVG
9499436,
9539327,CNNKG
9302695,CNXSA
1061441,SELLA
9984912,IDWED
9505924,MXTAM
9064994,
8709054,
9708241,PGLAE
8418435,
9108037,IDKUA
8985086,NLHAR
9542453,
9278600,RUNVS
9938236,HROMS
8316211,SEOEN
9288588,
9415519,
1061154,TMKRW
9413420,RUVYP
8881022,PTCNL
9770098,CNNTG
1076070,IDWED
9512472,
8928870,KRPUS
9421829,
5418630,
9630418,EELAO
8714994,IDKUA
9903592,USPEF
9983578,CNZOS
9223186,AEDXB
7366257,
9406269,QARLF
9744702,AEDXB
9315367,SGJUR
9975375,USVNT
7813949,ALVOA
6825660,HRBNM
7223950,
9387700,BEANR
9638525,BRRIO
9905631,NLELX
8312095,
8424587,USNYC
9517159,
9991044,IDTES
3544710,IRBUZ
7609269,
9422835,
7700934,
9663013,
9015709,IDKUA
1119717,INSIK
9060728,VNSGN
8560551,GBTOR
9724594,MXTUX
9348297,NLRTM
7621786,USNYC
9726188,EGALY
9443877,CNFZH
9462158,CNDJA
9757462,IDBTW
9674866,JPNOA
9889057,
9881718,PTPRM
7525918,DECUX
8650007,
7305904,NOREE
9154505,
8102141,GBPLY
9865295,CNDAL
8737398,IDJPU
7913505,
9800453,
7637553,MYSAM
9690573,
9775763,DEBRV
9298076,
9717890,MYLUM
9476642,
8854433,GBSFR
9398668,CNZOS
9233868,ROSUL
9656400,INKRI
9690664,TZDAR
9632583,USGLS
9668532,NOHRD
6607525,IDKUA
9020106,KRPUS
1008970,ESPMI
9362700,PHGES
8867428,TRALI
8100741,TRALI
9104251,
9854868,MTMLA
1066116,
9657507,MYTPP
8116049,USIEG
9528562,BRSSZ
8025135,
9346706,GBTIL
9452191,AEPRA
1343564,NLAMS
9628350,MGTOA
9451484,THLCH
9555101,PACTB
7809455,USSEA
9815329,CASED
1131466,CNNGB
7915395,GRPIR
8206832,
9446532,KRBOR
1056642,ESBIO
1039008,SAJED
9242649,
9892822,
9034092,BEANR
9782027,USTIW
9788083,BMSOU
9965423,SGJUR
2631449,
9806770,
9675078,BRGTB
9017367,FIMHQ
9883259,NLRTM
8777128,CNZOS
8606472,AZBAK
9709001,BRTTE
9285536,
9982419,CNRZH
9368895,PAMIT
8897863,DEHOO
1105340,
1010818,ITGOA
9222742,SGJUR
9294159,SGJUR
9966790,SEALA
9072769,TWKHH
9617404,SGJUR
9416111,INBOM
8889294,SADMM
9426439,
9142801,TRHAY
9768344,
9340051,SEOEN
9816191,CNTAG
9230127,CNDFE
9383895,
9574559,JPYKK
9959010,
9993406,HRNVL
1014307,SGJUR
9984728,USPOB
8540109,IRBND
8832033,IDKUA
9352626,AESHJ
8711112,CNQSN
8412950,
9214123,SEOEN
9981661,HKHKG
9477907,
9953793,SGJUR
9500261,
1014620,JOAQJ
9935662,CNCZX
7431882,IQUQR
9528677,LBBEY
8831649,
8225450,PLGDY
9419802,
9742716,USFOC
7625366,INBHU
8972261,BGVAR
8334964,ITTRS
9910909,CNFZH
8138592,
8769212,
9299563,
9636424,NOOOS
9666481,
8902670,
9754812,SGJUR
9275361,CNXAM
7346893,
8615124,
9231212,VEAMY
8812801,KRTGH
9845661,FRCEQ
9592032,BEANR
9176400,
7504598,BRVLC
9199282,CNNTG
7237511,THBKK
9269257,GRPIR
9771858,SNDKR
9831880,GBMED
9061136,SEOEN
9907005,ECSLR
8876182,IRBAM
9776016,THSGZ
8208397,EERAJ
9229582,PKBQM
9573878,JPYOK
9103295,USIYH
8579277,VEGUT
9263019,IDBDJ
9969558,
1074450,SGJUR
9435387,SEALA
8990732,USQHH
9016193,THLCH
8516782,TRALI
8988026,USFLL
2317902,BEANR
9907299,JPTAK
1014917,VNDAD
9315513,HNPCR
9278129,DKSKA
8138839,ITCTA
9388534,GBBFS
8704224,GRPPI
9604005,JPKCZ
9596179,GIGIB
9677325,INIXY
9569633,
9975612,MXESE
8716277,ECMEC
8605129,
9290103,CNSHA
9681027,USFPO
9237539,CNNGB
8854885,USHOR
8509454,
9934266,DERSK
8316431,CNJGY
9431927,SEOEN
9037135,CNDAL
7633662,NOBRV
9794068,USLGB
8300731,
9174488,NGLOS
8966743,
7374448,NOREE
8859495,IDBIR
7813925,TRALI
9555175,TWKHH
9609495,JPTOS
7329235,NZPCN
9387102,IDKUA
9612258,TRHAY
9739525,KRKAN
7909865,IDKUA
9735000,ECPBO
9486946,CNNTG
9652337,GQBSG
9216339,SDPZU
9367877,PHTBC
9231444,KRPUS
8728543,CNZOS
9968140,NLDOR
9657727,
9738375,JPOIT
7805021,NOHLB
9765457,ATERL
1077189,NOREE
9281645,
1095234,MYLUM
7359199,NLAMS
9131826,
9581485,EGSUZ
7411820,USR88
9802102,CNZOS
9210921,
9870666,NLRTM
9616852,PGLAE
9354284,
9894131,ITLIV
9339947,CNQIN
9307396,EGEDK
9226114,CLPMC
8862820,TRIST
8906468,MUPLU
9033842,JPYAT
1012244,AGANU
8975976,SNDKR
9593414,USLGB
5337771,DEKEL
7902922,GHTEM
7321142,ARMDQ
2417867,ITVIA
9101950,
9696046,
9405461,
9444730,CAFOR
9110468,ESVGO
9985435,SARTA
9916771,CNJNZ
9004188,SADMM
9071284,ARMDQ
9801732,ARBHI
9536454,TWTXG
9196917,SEOEN
9593995,
8892904,
1070832,SGJUR
9528938,
7708948,FRAYW
9943372,
9419747,BEZEE
9352937,FRMRS
7319046,USSEA
9690157,TWTXG
9625607,BEANR
8926638,NLAMS
9235593,HKHKG
9841237,
1046295,CNZJG
9539535,USGLS
9805817,
8513637,
9946166,ITLIV
9421659,NLDOR
9552044,
7210721,
9041095,
9443346,
9944508,KRPUS
9966831,NOREE
9655779,SGJUR
8100648,
9975662,NOEGE
9804447,VUVLI
9586796,RUVVO
1069003,GNKMC
8543395,
1076422,IDKUA
7721134,
8313922,CNNTG
9429936,
7608710,CLPMC
9757929,PKBQM
9072757,CNXIN
9270684,
9728605,
1015583,ECGYE
8812112,ESVGO
8401171,
9660504,
8739011,NOOOS
9947225,GNKMC
9796559,QADOH
9252058,TWTPE
9950088,AUMEL
9117820,
9272955,BRSSZ
8719413,
9399624,SAJED
9600190,
9516258,USHOU
9643817,MYMUD
7809352,CNXIN
8300975,
9651096,CNWFG
8614223,SEOEN
9572795,MXPMD
9805142,JPSHS
8926640,
9825805,
9197105,GRJKH
9221786,GIGIB
9718806,USHOU
9342621,
5028605,
9986910,BRSPB
9064803,GRVOL
9592551,IDMSK
8654730,CNWEI
8981391,GBCHD
9734680,COBAL
9178642,UYMVD
8820327,ITPMO
9382841,USGPT
9574262,JPASA
9039200,NLDZL
9046679,
9247003,NOMEL
9120231,ESVLC
9647162,VNHAP
8320470,
9133032,
9429364,TRORD
9264128,CNTIZ
8129503,USSEA
9159074,SGJUR
9732412,USORF
7728340,SGJUR
9744958,NORAF
8618437,
8220644,PTPRM
9405564,EGPSD
7618856,SNDKR
8019514,
7433098,
7817531,LVLPX
9615353,VNDNA
9903827,IRBAM
9430612,SGJUR
9902574,JPCHB
9383637,
9542207,
9778806,DEHAM
9914228,JPASA
8805585,
9845817,KRYOS
9434565,SGJUR
9784245,TWTXG
9785665,SEOEN
6159463,NOSLD
9538464,PKBQM
9148867,NOREE
1002835,TRKUS
3558412,
8692433,
7337543,GRVOL
9129043,KRYOS
9458664,ITSVN
1034553,CNTIZ
9625968,KRTSN
9035424,
8420062,
8591885,RUPSE
9304954,PTOPO
1084417,
9567544,INBOM
8904460,SEALA
8872538,TRIZM
8602945,EGADA
1149607,IDBDJ
9043718,THURT
9848675,GBSHO
7120469,
7630098,
1096276,
9335147,GRKLX
9357200,AEFRP
8401248,BERIN
7923249,HKHKG
9335185,MYXPQ
9947897,
9111618,IDKUA
8888733,
9437634,INBOM
9125528,KRPUS
9363156,SEOEN
1077438,FJSUV
9751274,TMKRW
9572991,
1090480,IDBDJ
8517047,NOALF
9356828,CNZHE
9908140,USVOW
8690306,
9612894,IRBUZ
9198240,GNKMC
9238727,MRNDB
8746296,TRBXN
9679892,LKCMB
1086324,CNQIN
9307267,VNSGN
8129606,NOREE
9478652,AOLAD
9188984,SEOEN
8509129,
9485021,NLRTM
8404654,AZBAK
9946453,
9057903,
8030908,PLNOW
8841280,SEOEN
8432015,NLELX
9746786,MVMLE
7434389,
8701002,
8121599,
9122344,NOHOT
9301720,CNCFD
1084596,SDPZU
9442419,NOBGO
9274599,ESCAR
9202168,MACAS
9031430,BGVAR
9253208,BEANR
9300635,
8764901,TRALI
9836397,
8991085,
9592458,BRTTE
8607892,NOOOS
9205627,
9653379,JPSBS
8741806,
9274496,BHSIT
7930462,IDKRG
9292498,SEOEN
9965411,GBFRB
8015568,
9438755,GRMYR
9364758,CNXSA
9781384,
1036525,NALUD
1040332,
7715484,USGHE
9464895,SGJUR
9554030,OMOFC
8858922,JPCNS
7607792,IDSUB
7929944,JPSTS
8408703,
7807392,
8324579,TRTUZ
9681584,ECMEC
9697399,
8224004,PHCEB
7101451,
7007459,
9852365,BRSSZ
9522441,IDTAB
9808156,
9289996,KZBTN
9556430,VNVUT
9956800,
7511981,
9780653,MAPTM
9371567,MYKEM
9382229,
9600592,USSEA
8514629,
9181493,LYTIP
8212659,
1028231,ECSLR
9223435,LVRIX
1068891,KRICH
8989513,GRDAF
9945344,IDJPU
9997361,KRICH
8132835,CNJGY
9168893,CNJGY
9785146,AEHZP
9362633,ZADUR
1003762,
9911044,CLPMC
8609228,IDBUR
9820752,JPNOA
9276339,KRCHA
9453004,EELAO
7119965,AEHZP
9586851,NGPHC
8213603,IDKUA
9005819,ITTPS
1029625,
9594092,CVMIN
8108573,VNHAP
7526857,CNZJG
8711083,IDKUA
9288291,TRAYT
8727288,LVVNT
9542570,SARAR
8409070,
9519250,AEAUH
9041423,IDSUB
8723725,RUMMK
7038642,
9137272,UYMVD
9560936,NOOOS
9721956,ARLPS
9872729,
8742692,GRPER
9254068,
9493937,
7620005,ROCND
9954591,
7908160,SELAT
9682435,NORAU
9303871,GHTEM
9709635,CNTNJ
9165487,NOFRO
9376995,FRIRK
8103042,USSEA
9721152,
9495973,GNKMC
9879454,IDSKP
8679687,ITPMO
9226815,
9317303,INIXY
9769099,NLRTM
8424147,
9073397,
9412880,
8629008,CNZOS
9250634,IRBUZ
9556014,PTOPO
9326512,BRSSZ
9492945,IDJPU
8505848,
9576923,
8611219,TRSSX
8605973,
8905567,KRPUS
1018872,
7514828,PYASU
8210950,VUVLI
7904877,
9355288,CLVAP
9429974,ITGOA
8592310,SEOEN
9908451,AUALH
8891376,ROSUL
9163520,CNSHD
9238777,AUADL
7820241,
8508266,KRPUS
1009053,
8687438,
9344148,
9028249,USFLL
7411600,
8643028,USNYC
8985385,
1017593,
9121053,NOSVG
9886108,PAPSA
9852377,CNZOS
5244974,
9252060,SEOEN
9997012,CNSHA
9189861,TRISK
9558505,IDBPN
8682464,
9607849,NOREE
9342671,CNTAG
8603963,TRFET
7905039,
9155963,SENRK
9005106,
9739757,DKARO
9935064,NGLOS
9125712,OMSOH
9637181,BEWND
9914589,CNFZH
9864318,CNSZX
8721985,RUMMK
7718668,JPWAM
8431073,
9736286,CNJNZ
9000716,
8360640,TRIST
7397323,AEHZP
6415051,NOTAV
8968545,USVN3
9610030,MEBAR
9651371,
9875276,JPHSG
9185229,LVRIX
9191761,IDBUR
9553165,USFOC
9264867,
7342304,ECMEC
6505325,SEOEN
7390882,
8013235,PTOPO
9990832,DOHAI
9906726,
9492608,MYLUM
7231086,
9771119,AEHZP
9715309,
9834674,HKHKG
7409384,AESHJ
9675963,
9072214,
7367304,NOOLD
8902797,IDKUA
9192791,MYMUD
8832617,
7214193,NOSAX
9705782,INPRT
9301184,CNTNJ
9622758,NLNES
9661429,MUPLU
8013120,
9437220,BGBOJ
9575383,MUPLU
9250191,
7950606,NGLOS
9959412,SGJUR
7001443,AEPRA
9332066,GRKLX
9490741,CNQZH
9458470,RUKOR
9264295,NLKAM
8716411,
8906834,
8874445,
9269491,FRUSJ
8304311,SEOEN
9040003,
9859959,
9331646,MYPGG
7204734,SGJUR
9367425,BHMSP
9989065,
9241243,DEKEL
9719410,
8220474,TMKRW
9395513,NOKOP
9521667,NIRAM
9672222,CDMAT
9241396,NOOLD
8541919,ESIBZ
9297242,TRTEK
9409613,FRM56
9425344,AOSZA
1018810,NOSTX
9623362,KRKAN
8405012,IRBND
9348431,CNQIN
9051686,SEOEN
8752776,NLRTM
8772556,
1057610,THMAT
9798179,USHOU
9767821,
9076272,KRPUS
9460825,EGPSD
9225562,DEBRE
9685449,USHOU
7644776,USZVB
9283186,PAMIT
8822600,NOSTX
9072109,
8842480,PGPOM
8505484,NOTOS
9198197,EEHYA
8509442,
9631993,MAPTM
9271391,
9778430,
9225500,NOREE
9230402,NZTRG
8935861,
9672636,
9315537,MYXPQ
9717929,SARTA
9144251,NOSKX
9508976,ARLPG
9693276,KRTJI
9302023,GHTEM
9815745,IDSOQ
9148051,SGJUR
9613616,INNSA
9950428,TRISK
9548184,MTMAR
7407489,ARBUE
9232369,
9652844,AUGRK
8503034,NOREE
8135899,NLDHR
9587659,USAXR
9908449,KRICH
8414740,IDKUA
8868276,VNSGN
9972866,
9514391,MEBAR
8898738,
9112246,RUVVO
9332169,SGJUR
8514332,UYMVD
9508251,
9520962,CLANF
9865685,SEKAN
9645669,JPSUK
8730754,
7421198,
8869361,SEKAF
7513343,EETOR
9521849,SEALA
9047685,JPONA
8502688,FRBES
7803499,
9172727,NOREE
9092721,NOREE
8617782,SGJUR
9031636,RUNJK
8730455,SEAGE
9240055,CNJNZ
8693126,GHTKD
9422158,USCRP
9523756,ILHFA
9574080,KRMAS
8116180,EGDMT
9491381,INTUT
7615672,IDKUA
9304435,AUMEL
8930471,
9019470,GNKMC
9240885,OMSHI
8432259,
9726176,CNTNJ
1040588,
9089736,CNSDG
9938834,AUALH
9881744,JPKOJ
9963140,VNSGN
9476771,NOOOS
8873879,FR66F
9494307,INBHU
1067287,
1035583,FRAYW
8325547,
8888886,
9615066,PHMNL
7612503,
9837872,GBAVO
9691450,
8904109,RUNJK
9291248,
9377200,ITOTN
7206653,THLCH
9014688,TRTUZ
1099888,CNWHI
1054553,CNQZH
1007756,PTVAR
8100583,
9907433,BGBOJ
9962495,NLRTM
9194440,ROSUL
9058402,CNSHP
9859002,NCNOU
9822504,MYTPP
8618463,
9134294,
8432998,NLIJM
8745967,CNDDG
9699713,ITGOA
9790880,AUPHE
9321263,
8864335,CNFZH
9686766,COBAL
8110045,
9371983,PHNGT
7511539,USGHE
8029600,
9590864,
8599423,PHMNL
9269207,DZSKK
8627749,
8842832,
9430533,
9120762,CNGOM
9268253,GBMLF
9395848,
8033912,
8026153,
9822841,ISREY
6818679,SEORX
9975002,USHOU
9726918,JPKOJ
9298820,INENR
9633501,
9211418,
9178343,NOREE
9603881,PTOPO
9938614,SGJUR
9438614,CNLSN
9683013,EEORU
8806101,
8957792,GRIOS
9238806,SAJED
8600038,
9126675,SLFNA
9755191,CNQIN
7204095,USSEA
8320573,FRTLN
9615171,SEOEN
9224518,CNQIN
9638018,SEOEN
9552202,VNVUT
8541799,SEALX
8968014,MYXPQ
8670497,IDTPN
9278179,QAHAL
9331036,TRIST
9382243,
9209831,
9925813,GNKMC
9798997,
8818180,IDKUA
1098248,
9504736,
1066661,
9773698,NIRAM
9448463,AESHJ
9890094,CNTNJ
7905120,EELAO
9219812,USMTW
7903029,BRVLC
9261762,CNJGY
7393468,PLWLA
9310525,TRTUZ
9691735,NLRTM
9505015,GBAVO
1005124,ESPMI
5339248,IEDUB
8520501,INBHU
8314988,
7007306,
9948530,EGPSD
9638379,JPHIJ
8701519,
9649017,FRANT
9222429,ESCNO
1092660,TRIST
9158197,
8865999,NOOOS
9885879,RUMMK
7921007,EEAAK
7602261,
9362061,
7310997,
8411982,
8763608,
9353747,LKCMB
1014254,
1129762,
