imo,load_type,quantity
8012267,cement,0
9116761,oil,0
9974022,bulk,0
9402732,oil,0
8127335,cargo,0
9172571,bulk,0
9493688,bulk,0
9248485,oil,0
9237486,containers,0
9848194,ore,0
9850252,cargo,0
8899976,cargo,0
8102268,bulk,0
9626974,bulk,0
9058921,oil,0
9996915,cargo,0
9454424,containers,0
7703778,cargo,0
9262522,bulk,0
9494228,bulk,0
5259412,cargo,0
9291353,bulk,0
9362372,chemical,0
9708590,bulk,0
9296298,containers,0
1099137,chemical,0
9267675,vehicles,0
7808621,cargo,0
8720852,cargo,0
9986623,LNG,0
6611916,cargo,0
9429871,oil,0
9544774,bulk,0
9034236,chemical,0
9573268,bulk,0
8303939,oil,0
9507350,cargo,0
9822451,oil,0
1050870,containers,0
9949687,bulk,0
9498949,chemical,0
7423732,oil,0
9548158,oil,0
9176474,cargo,0
9675559,bulk,0
8657744,cargo,0
9339600,containers,0
7638337,LPG,0
9532795,containers,0
9384007,chemical,0
6615699,bulk,0
9496692,chemical,0
9666845,containers,0
9347140,cargo,0
9331529,bulk,0
9976824,LNG,0
7816484,chemical,0
9530917,oil,0
8121953,cargo,0
8649967,aggregates,0
9221023,chemical,0
9742118,cement,0
9888003,bulk,0
9736389,containers,0
9624445,bulk,0
8421963,cargo,0
9374002,bulk,0
1027964,oil,0
9499436,bulk,0
9539327,wood chips,0
9302695,containers,0
1061441,bulk,0
9505924,chemical,0
9108037,cargo,0
9542453,cargo,0
9278600,cargo,0
8316211,bulk,0
9288588,chemical,0
1061154,cargo,0
9413420,bulk,0
8928870,cargo,0
9421829,cargo,0
9630418,containers,0
8714994,oil,0
9983578,bulk,0
9223186,bulk,0
9406269,LPG,0
9315367,oil,0
9975375,bulk,0
9387700,chemical,0
9638525,oil,0
8312095,bulk,0
9991044,bulk,0
3544710,cargo,0
9422835,oil,0
7700934,bulk,0
9663013,cargo,0
9015709,cargo,0
9060728,cargo,0
9724594,chemical,0
9348297,chemical,0
9726188,cement,0
9443877,chemical,0
9462158,cement,0
9757462,oil,0
9674866,cargo,0
9889057,cargo,0
8650007,cargo,0
9154505,bulk,0
7913505,oil,0
9800453,cargo,0
7637553,refrigerated,0
9690573,cement,0
9775763,containers,0
9298076,cargo,0
9476642,bulk,0
9398668,bulk,0
9233868,bulk,0
9656400,bulk,0
9362700,containers,0
8867428,cargo,0
8100741,cargo,0
9104251,oil,0
1066116,cargo,0
9657507,oil,0
9528562,bulk,0
8025135,bulk,0
9346706,cargo,0
9452191,cargo,0
1343564,cargo,0
9451484,containers,0
9555101,containers,0
9815329,cargo,0
1131466,cargo,0
7915395,oil,0
9446532,bulk,0
1056642,chemical,0
9242649,containers,0
9892822,LPG,0
9782027,bulk,0
9965423,LNG,0
9806770,bulk,0
9675078,chemical,0
9883259,chemical,0
8777128,cargo,0
9709001,bulk,0
9982419,containers,0
9368895,vehicles,0
1105340,cargo,0
9222742,bulk,0
9294159,containers,0
9072769,chemical,0
9617404,cargo,0
9416111,chemical,0
8889294,bulk,0
9340051,containers,0
9816191,chemical,0
9230127,bulk,0
9383895,chemical,0
1014307,bulk,0
9984728,LPG,0
8711112,bulk,0
8412950,bulk,0
9214123,bulk,0
9477907,containers,0
9953793,vehicles,0
9500261,bulk,0
9935662,chemical,0
9528677,cargo,0
9419802,cargo,0
8972261,cargo,0
9910909,fish,0
9299563,oil,0
9666481,refrigerated,0
9275361,containers,0
7346893,bulk,0
8615124,oil,0
9231212,oil,0
8812801,refrigerated,0
9845661,containers,0
9592032,bulk,0
7504598,livestock,0
9269257,oil,0
9061136,containers,0
9907005,chemical,0
8876182,cargo,0
8208397,cargo,0
9573878,oil,0
8579277,cargo,0
1074450,fuel,0
9435387,oil,0
9907299,asphalt,0
8138839,cargo,0
9388534,containers,0
9604005,bulk,0
9596179,bulk,0
9677325,bulk,0
9569633,oil,0
9975612,containers,0
8605129,cargo,0
9290103,containers,0
9237539,oil,0
8509454,vehicles,0
9934266,cargo,0
8316431,cargo,0
9037135,oil,0
9794068,oil,0
8300731,refrigerated,0
9174488,oil,0
7374448,oil,0
8859495,cargo,0
7813925,refrigerated,0
9555175,containers,0
9609495,bulk,0
9387102,containers,0
9739525,ore,0
7909865,timber,0
9735000,bulk,0
9486946,chemical,0
9216339,cargo,0
9367877,cargo,0
9968140,cargo,0
9738375,bulk,0
9765457,LPG,0
1077189,cargo,0
1095234,cargo,0
7359199,cargo,0
9131826,bulk,0
9802102,bulk,0
9870666,chemical,0
9616852,containers,0
9339947,bulk,0
9307396,containers,0
9226114,fish,0
8862820,cargo,0
9033842,cargo,0
8975976,cargo,0
9593414,oil,0
7902922,oil,0
9696046,bulk,0
9405461,bulk,0
9444730,containers,0
9916771,bulk,0
9004188,containers,0
9801732,bulk,0
9536454,bulk,0
9196917,containers,0
8892904,cargo,0
1070832,oil,0
7708948,LNG,0
9943372,chemical,0
9419747,cargo,0
9690157,LNG,0
9625607,cargo,0
9235593,containers,0
9841237,cargo,0
1046295,bulk,0
9539535,bulk,0
8513637,oil,0
9421659,cargo,0
9552044,cargo,0
9041095,oil,0
9944508,containers,0
9966831,bulk,0
9655779,oil,0
9804447,cargo,0
1069003,cargo,0
7608710,cargo,0
9757929,bulk,0
9072757,LPG,0
9270684,containers,0
1015583,bulk,0
8739011,oil,0
9947225,bulk,0
9796559,asphalt,0
9252058,bulk,0
9950088,containers,0
9117820,containers,0
9272955,bulk,0
8719413,cargo,0
9399624,oil,0
9600190,oil,0
9516258,chemical,0
8300975,containers,0
9651096,cargo,0
8614223,cargo,0
9221786,chemical,0
9718806,chemical,0
9342621,oil,0
9986910,bulk,0
8654730,cargo,0
9734680,LPG,0
9120231,oil,0
9647162,cargo,0
9133032,cargo,0
9264128,bulk,0
9159074,cargo,0
9732412,bulk,0
9744958,chemical,0
8618437,containers,0
9405564,chemical,0
8019514,bulk,0
7433098,bulk,0
9615353,LPG,0
9903827,cargo,0
9430612,oil,0
9902574,vehicles,0
9778806,containers,0
9914228,chemical,0
8805585,refrigerated,0
9845817,bulk,0
9434565,bulk,0
9784245,containers,0
9785665,oil,0
6159463,cargo,0
9538464,oil,0
3558412,oil,0
9129043,cargo,0
1034553,cargo,0
9625968,oil,0
9035424,bulk,0
8420062,bulk,0
8591885,bulk,0
9567544,bulk,0
8904460,oil,0
8872538,cargo,0
8602945,cargo,0
7120469,oil,0
9335147,chemical,0
8401248,cargo,0
9335185,containers,0
