seaport_id,seaport_name,country_id,latitude,longitude
AEAUH,Abu Dhabi,AE,24.4667,54.3667
AEAMU,Abu Musa,AE,25.8667,55.0167
AEARP,Ahmed Bin Rashid Port,AE,25.5333,55.55
AEFJR,Al Fujayrah,AE,25.1167,56.3333
AEJAZ,Al Jazeera Port,AE,25.7167,55.8
AEAJP,Al Jeer Port,AE,26.0333,56.05
AERUW,Ar Ruways,AE,24.1167,52.7333
AEDBP,Dibba,AE,25.6167,56.2667
AEDXB,Dubai,AE,25.25,55.2667
AEFRP,Free Port,AE,25.25,55.25
AEHZP,Hamriya Free Zone Port,AE,25.3,55.3167
AEHSN,Hassyan,AE,24.9,54.9
AEQWE,Jebel Ali Free Zone,AE,25.0,55.05
AEKLB,Kalba,AE,25.0667,56.35
AEKLF,Khor al Fakkan,AE,25.3333,56.35
AEMKH,Mina Khalid,AE,25.35,55.3667
AEKHL,Mina Khalifa/Abu Dhabi,AE,24.8333,54.6667
AEMRP,Mina Rashid Port,AE,25.2667,55.2833
AEMZD,Mina Zayed/Abu Dhabi,AE,24.5167,54.3667
AEAMF,Mussafah,AE,24.3833,54.4833
AERKP,Rak Khor Port,AE,25.8167,55.95
AERMC,Rak Maritime City,AE,25.95,56.05
AERKT,Ras al Khaimah,AE,25.7833,55.95
AERWP,Ruwais Port,AE,24.1,52.7167
AESHJ,Sharjah,AE,25.35,55.3833
AEQIW,Umm al Quwain,AE,25.5833,55.5833
AEYAS,Yas Island,AE,24.4958385,54.6040121
AEZUR,Zirku Island,AE,24.8833,53.0667
AEJEA,Port of Jebel Ali,AE,25.0,55.05
AEAJM,Ajman,AE,25.4052165,55.5136433
AEDAS,Das Island,AE,25.15,52.8833333
AEDUJ,The Palm Jumeirah,AE,25.115,55.1375
AEEND,Esnnad,AE,24.317,54.45
AEHTL,Hulaylah Terminal,AE,25.983,55.933
AEJED,Jebel Dhanna,AE,24.1915137,52.6126027
AEMBS,Mubarras Island,AE,24.5779154,53.3056266
AEMSA,Mina Saqr,AE,25.967,56.067
AEPRA,Port Rashid,AE,25.284755,55.2756505
AERFA,Mirfa,AE,24.0535567,53.4122052
AESID,Sadiyat Island,AE,24.533,54.4
AEULR,Umm Al Nar,AE,24.433,54.5
AFDHD,Dehdadi,AF,36.65,66.9833
AFQLT,Qalat,AF,32.1,66.8833
AFRKH,Torkham,AF,34.1298683,71.0839469
AZKMZ,Khachmaz,AZ,41.4591168,48.8020626
AZQDG,Qaradag,AZ,40.25,49.6
AZSHI,Shirvan,AZ,39.9167,48.9167
AZSUQ,Sumqayit,AZ,40.5833,49.6667
AZBAK,Baku,AZ,40.408005,49.86735
BDASJ,Ashuganj,BD,24.0333,91.0167
BDBNP,Benapole,BD,23.05,88.9
BDCGP,Chattogram,BD,22.3333,91.8333
BDMUN,Munshiganj,BD,23.5449195,90.5296275
BDPGN,Pangaon,BD,23.65,90.45
BDPAY,Payra Port,BD,21.9333,90.2667
BDMGL,Mongla,BD,22.4942196,89.6016171
BHAHD,Al Hidd,BH,26.2333,50.65
BHGBQ,Al Muharraq,BH,26.25,50.6
BHKBS,Khalifa Bin Salman Port,BH,26.2,50.6167
BHMIN,Mina Sulman Port,BH,26.2,50.6167
BHSIT,Sitrah,BH,26.1333,50.6167
BHMSP,Mina Sulman Port,BH,26.2,50.61667
BNBWN,Bandar Seri Begawan,BN,4.8833,114.9333
BNKUB,Kuala Belait,BN,4.5831986,114.2212174
BNMUA,Muara,BN,5.0333206,115.0732883
CCCCK,Cocos Islands,CC,-12.0,96.8333
CNAPP,Anpu,CN,21.3833,109.8333
CNAQG,Anqing Pt,CN,30.5167,117.0333
CNANQ,Anqiu,CN,36.4167,119.1833
CNANT,Anting,CN,31.3,121.15
CNAJG,Aojiang Pt,CN,27.5833,120.45
CNBCO,Bacao,CN,25.4667,105.7833
CNBDG,Badong,CN,31.0333,110.3833
CNBCG,Baiceng,CN,25.4333,105.8
CNBMJ,Baimajing,CN,19.7,109.2167
CNIMA,Baimao,CN,35.0167,118.6
CNBYG,Baiyang,CN,30.4333,111.5167
CNBSD,Baoshan Pt,CN,31.4167,121.4833
CNBSP,Basuo Pt,CN,19.0,108.6167
CNBIH,Beihai Pt,CN,21.4667,109.1167
CNBIJ,Beijiao,CN,22.9167,113.2
CNSXB,Beitan,CN,21.3667,110.25
CNPHB,Bijia,CN,22.6167,114.85
CNBHX,Binhai,CN,33.7167,119.6167
CNBYN,Binyang,CN,27.25,120.3333
CNDBX,Bohe,CN,21.5167,111.0
CNBZG,Bozhong,CN,38.45,118.4333
CNGSA,Cangshan,CN,34.85,118.05
CNCGW,Cangwu,CN,23.4833,111.3167
CNCFD,Caofeidian Pt,CN,38.95,118.5333
CNCJG,Caojing,CN,30.7833,121.4
CNCDH,Changdianhekou,CN,40.4167,124.8
CNCSH,Changsha,CN,28.2,112.9833
CNCGS,Changshu Pt,CN,31.65,120.7167
CNCZX,Changzhou Pt,CN,31.7833,119.9667
CNCHU,Chaohu,CN,31.6,117.85
CNCHY,Chaoyang Pt,CN,23.2667,116.6
CNCOZ,Chaozhou Pt,CN,23.6667,116.6333
CNCUN,Chencun,CN,22.95,113.2333
CNCNG,Chengde,CN,40.9667,117.9333
CNCLJ,Chenglingji Pt,CN,29.4333,113.15
CNCHX,Chengxi,CN,31.9167,120.2333
CNCWN,Chiwan Pt,CN,22.4833,113.8833
CNCHI,Chizhou Pt,CN,30.65,117.4667
CNCGM,Chongming,CN,31.6333,121.4
CNCQI,Chongqing,CN,29.5833,106.55
CNCHZ,Chuzhou,CN,32.3167,118.2833
CNCIX,Cixi,CN,30.1667,121.2333
CNDCB,DA CHAN BAY,CN,22.5333,113.8667
CNDDD,Dadeng I.,CN,24.5333,118.3167
CNDFG,Dafeng Pt,CN,33.1833,120.4667
CNDAL,Dalian,CN,38.9167,121.6
CNDLD,Dalu Island,CN,39.7333,123.7167
CNDMY,Damaiyu,CN,25.1833,119.6
CNDDZ,Dandong,CN,40.1333,124.3667
CNDHU,Danzhou,CN,25.3667,109.4333
CNDPG,Dapeng,CN,22.6,114.5
CNDAS,Dashihuagang,CN,38.9,121.6
CNDAX,Daxie Pt,CN,29.8833,121.95
CNDAY,Dayawan,CN,22.6667,114.6667
CNDEF,Defeng,CN,26.2167,109.1167
CNDEZ,Dezhou,CN,37.4333,116.2833
CNDDW,Dongdaiwan,CN,26.2333,119.6167
CNDFA,Dongfang,CN,19.05,108.9333
CNDGN,Donggang,CN,39.8833,124.1333
CNDGG,Dongguan Pt,CN,23.0333,113.75
CNDNG,Donghai,CN,22.95,115.6333
CNDJK,Dongjiangkou,CN,33.6667,108.6667
CNDJT,Dongjiaotou Pt,CN,20.3333,110.4167
CNDGP,Dongping,CN,21.7167,112.2167
CNDSH,Dongshi,CN,24.6667,118.4667
CNDOX,Dongxing,CN,21.4833,107.9833
CNDYN,Dongying Pt,CN,37.4167,118.6833
CNDOU,Doumen Pt,CN,22.2,113.2833
CNEZH,Ezhou,CN,30.4,114.8167
CNFAN,Fangcheng Pt,CN,21.7667,108.35
CNFCH,Fengcheng,CN,36.7,121.2333
CNFKI,Fengkai,CN,23.05,112.45
CNFUJ,Fujin,CN,47.25,132.0333
CNFLG,Fuling,CN,29.7,107.3333
CNFNG,Fuyong,CN,22.65,113.7833
CNFUY,Fuyuan,CN,48.35,134.3
CNFZH,Fuzhou,CN,26.0833,119.3
CNGAO,Gaogang,CN,32.3,119.85
CNGON,Gaolan,CN,21.9167,113.25
CNGLN,Gaolan,CN,36.3167,103.9333
CNGOM,Gaoming Pt,CN,22.8833,112.8333
CNGGK,Gongkou,CN,23.6333,117.2333
CNGOG,Gongming,CN,22.7833,113.8667
CNTSG,Gongyi,CN,22.25,112.8
CNGHI,Guanghai Pt,CN,21.9667,112.8
CNGGZ,Guangzhou,CN,23.1333,113.2333
CNGUG,Guigang,CN,23.1,109.6
CNGUI,Guilin,CN,25.2667,110.2833
CNGIS,Guishan,CN,22.1333,113.8167
CNGZE,Guzhen,CN,22.6,113.1667
CNHKO,Haikou,CN,20.0333,110.3333
CNHXG,Haikou New Pt,CN,20.25,108.8333
CNHIG,Haikou Pt,CN,20.0333,110.1667
CNHME,Haimen,CN,28.6667,121.4333
CNHRN,Harbin,CN,45.7333,126.6
CNHEB,Hebei,CN,39.8833,115.2667
CNHEK,Heihe,CN,50.2333,127.4833
CNHST,Heishantou,CN,50.2,119.3833
CNENP,Hengban,CN,22.2,112.3167
CNHNI,Hengli,CN,23.1667,114.6167
CNHSN,Heshan Pt,CN,22.7667,112.95
CNHTG,Hetang,CN,22.65,113.1333
CNBLX,Honghai Pt,CN,23.1667,114.2667
CNHOU,Houjie,CN,22.9333,113.6333
CNHZU,Houzhu,CN,24.8833,118.6667
CNHCN,Huachuan,CN,47.0167,130.7
CNHIJ,Huaiji,CN,23.05,112.45
CNHLI,Huailai,CN,40.3667,115.5
CNAIN,Huaiyin,CN,33.6333,119.0167
CNHUH,Huanghua Pt,CN,38.35,117.35
CNHGJ,Huangjiang,CN,25.1,107.3333
CNHUN,Huangpu New Port,CN,23.0833,113.5
CNHSI,Huangshi Pt,CN,30.2,115.1
CNANG,Huangxian,CN,29.55,121.5667
CNHYN,Huangyan,CN,28.6333,121.25
CNHID,Huidong Pt,CN,22.9833,114.7
CNHUI,Huizhou Pt,CN,23.0833,114.3667
CNHUL,Hulin,CN,45.7833,132.95
CNHUD,Huludao Pt,CN,40.75,120.85
CNHMN,Humen Pt,CN,22.8333,113.6667
CNHZH,Huzhou Pt,CN,30.8667,120.1
CNFKJ,Jiangkou,CN,23.45,111.5
CNJMN,Jiangmen Pt,CN,22.5833,113.0667
CNJIS,Jiangshan Pt,CN,21.6333,108.2667
CNJGY,Jiangyin,CN,25.4667,119.3
CNJIA,Jiangyin Pt,CN,31.9,120.2833
CNJAX,Jiaxing,CN,30.7667,120.75
CNJAY,Jiayin,CN,48.8667,130.3667
CNJIZ,Jiazi,CN,22.8667,116.05
CNHLJ,Jinghai,CN,23.0333,116.3
CNJOG,Jinghong,CN,22.0167,100.8
CNJIJ,Jingjiang Pt,CN,32.0333,120.2833
CNJGU,Jinguzhou,CN,22.5167,113.0167
CNJZK,Jingzhou Pt,CN,30.3,112.2667
CNPTJ,Jinjing,CN,25.5,119.7833
CNJNZ,Jinzhou Pt,CN,41.1167,121.15
CNJUJ,Jiujiang,CN,22.8333,113.0
CNJIU,Jiujiang Pt,CN,29.7167,115.9667
CNJUZ,Jiuzhen,CN,24.0333,117.7
CNJRG,Jurong,CN,31.9167,119.1667
CNKFG,Kaifeng,CN,34.7833,114.3333
CNLZO,Laizhou Pt,CN,37.1667,119.95
CNLSN,Lanshan Pt,CN,35.0667,119.3667
CNLXI,Lanxi,CN,29.2,119.4667
CNLIH,Lianhuashan Pt,CN,23.0167,115.2667
CNLYG,Lianyungang,CN,34.7167,119.4333
CNLIZ,Lianzhou,CN,24.7667,112.35
CNLLI,Liling,CN,27.6667,113.4833
CNLNH,Linhai,CN,28.85,121.1167
CNLUI,Lisui,CN,40.0667,116.75
CNLUD,Liudu,CN,23.0667,112.0
CNLZL,Liusha,CN,20.9,110.0667
CNLZH,Liuzhou Pt,CN,23.3167,109.4
CNLGU,Longguan,CN,40.7667,115.5667
CNLGI,Longhai,CN,26.4667,113.2667
CNLKU,Longkou Pt,CN,37.65,120.35
CNLGY,Longyan Pt,CN,37.4333,122.6333
CNLUN,Lu'an,CN,31.7333,116.4833
CNLFN,Lufeng,CN,22.95,115.6333
CNLUH,Lu-hua Shan,CN,30.8167,122.6167
CNLUB,Luobei,CN,47.5667,130.8167
CNLSH,Lushun New Pt,CN,38.6833,121.1833
CNLUS,Lusi,CN,32.05,121.6167
CNLUZ,Luzhou,CN,28.9,105.4
CNMAA,Maanshan Pt,CN,31.7167,118.4667
CNMAC,Macun,CN,19.95,110.0167
CNSHM,Mafang,CN,23.35,112.6833
CNMJS,Maji Shan,CN,30.6667,122.4
CNMWN,Mawan Pt,CN,22.45,113.8833
CNMAW,Mawei Pt,CN,25.9833,119.45
CNMSA,Meisha Pt,CN,24.7,117.0667
CNMIY,Miyun,CN,40.3667,116.8333
CNMOH,Mohe,CN,53.0167,122.45
CNNAN,Nanao Pt,CN,23.4333,117.6833
CNNAH,Nanhai Pt,CN,23.0167,113.15
CNNJK,Nanjiangkou,CN,23.1167,111.8
CNNJI,Nanjing,CN,32.05,118.7667
CNNIN,Nanning,CN,22.8,108.3167
CNNSA,Nansha Pt,CN,22.75,113.5833
CNNTG,Nantong Pt,CN,32.0167,120.85
CNZNZ,Naozhou,CN,20.9167,110.5833
CNNBO,Ningbo,CN,29.8667,121.55
CNNBG,Ningbo Pt,CN,29.9167,121.6667
CNNGB,Ningbo,CN,29.8667,121.55
CNNUD,Nudao,CN,36.3833,120.8667
CNPAJ,Panjin,CN,41.1167,122.05
CNPLI,Penglai Pt,CN,37.8,120.75
CNPXM,Pingshaxinmatou,CN,22.1,113.1667
CNPGZ,Pingzhou,CN,23.0333,113.2
CNPJS,Pizhou,CN,34.3351999,118.01246
CNPDG,Pudong/Shanghai,CN,31.2333,121.5
CNPUT,Putian,CN,24.4333,119.0167
CNPYG,Puyang,CN,35.7,115.0
CNQSN,Qianshan/Zhuhai,CN,22.2333,113.5167
CNQAW,Qianwan,CN,36.05,120.2167
CNLJQ,Qianyu,CN,26.2,119.5167
CNQIN,Qingdao,CN,36.05,120.3167
CNQIG,Qingguji / Shangqiu,CN,34.6833,115.7667
CNQLN,Qinglan Pt,CN,19.55,110.8167
CNQGS,Qingshi,CN,41.3667,126.5167
CNQGY,Qingyuan,CN,23.7,113.0167
CNSHP,Qinhuangdao Pt,CN,39.9167,119.5833
CNQSA,Qisha Pt,CN,21.5833,108.4667
CNQZL,Quanzhou,CN,24.9333,118.6
CNQZJ,Quanzhou Pt,CN,24.9333,118.6
CNJDR,Quxi,CN,23.5833,116.4333
CNROH,Raohe,CN,46.8,134.0
CNRPG,Raoping,CN,23.6667,117.0
CNRZH,Rizhao Pt,CN,35.3833,119.5333
CNRCG,Rongcheng,CN,37.15,122.3833
CNROQ,Rongqi Pt,CN,22.7833,113.2667
CNSIQ,Saiqi,CN,26.9667,119.6833
CNSAM,Sanming / Shanming Shi,CN,26.2333,117.6167
CNSNS,Sansha,CN,26.9333,120.2167
CNSJQ,Sanshui,CN,23.1667,112.8667
CNSYA,Sanya Pt,CN,33.7833,120.25
CNSZA,Sanzao,CN,22.05,113.35
CNNDS,Shacheng,CN,26.65,119.5167
CNSAT,Shadi,CN,21.6,112.7833
CNSGH,Shanghai,CN,31.2333,121.4833
CNSHA,Shanghai,CN,31.2333,121.4833
CNSGU,Shangyu,CN,30.0,120.8667
CNSXJ,Shanshan,CN,42.8667,90.1667
CNSTG,Shantou Pt,CN,23.4167,116.7667
CNSAW,Shanwai,CN,28.05,121.2
CNSWE,Shanwei Pt,CN,22.7833,115.35
CNHSC,Shaoguan New Pt,CN,24.8,113.6167
CNSPA,Shapa,CN,21.5,111.4833
CNSTI,Shatian,CN,23.9833,113.9
CNSHT,Shating,CN,23.05,113.4333
CNSHK,Shekou Pt,CN,22.4833,113.9167
CNSNH,Shenhu,CN,24.6167,118.6667
CNSNZ,Shenzhen,CN,22.55,114.1167
CNSEY,Sheyang,CN,33.7667,120.25
CNSHD,Shidao Pt,CN,36.8667,122.4333
CNSIJ,Shijing,CN,24.6167,118.4333
CNSJU,Shijiu Pt,CN,36.3667,119.55
CNSLO,Shilou,CN,23.0167,113.5
CNSPI,Shipai,CN,30.3167,116.65
CNXSP,Shipu,CN,29.4833,121.85
CNPNY,Shiqiao,CN,22.95,113.3667
CNSHH,Shishi,CN,24.7333,118.6333
CNSTB,Shitoubu Pt,CN,21.5833,109.55
CNSAN,Shiwan,CN,23.0,113.0833
CNSDG,Shuidong Pt,CN,21.5167,111.0
CNSIK,Shuikou,CN,22.2333,110.9333
CNSUD,Shunde Pt,CN,22.8333,113.25
CNSHL,Shuolong,CN,22.8,106.8
CNSKS,Sikuaishi,CN,39.2833,122.5667
CNSYM,Simao,CN,22.8,100.9667
CNSGJ,Songjiang,CN,31.0167,121.2333
CNSON,Songxia Pt,CN,25.6833,119.5833
CNSBN,Suibin,CN,47.3,131.85
CNSNN,Suining,CN,30.5333,105.5333
CNSUW,Sunwu,CN,49.4167,127.3167
CNSZH,Suzhou,CN,31.3167,120.6167
