imo,description,ship_type
8012267,Cement Carrier,Cargo
9116761,Floating Storage/Production,Tanker
8788397,Trawler,Fishing
9002075,Tug,Tug
9974022,Bulk Carrier,Cargo
9402732,Crude Oil Tanker,Tanker
8998007,Multi Purpose Offshore Vessel,Cargo
9807255,Fishing Vessel,Other
8127335,General Cargo,Cargo
9172571,Bulk Carrier,Cargo
9493688,Bulk Carrier,Cargo
9248485,Crude Oil Tanker,Tanker
9237486,Container Ship,Cargo
9570321,Utility Vessel,Tug
9529011,Multi Purpose Offshore Vessel,High Speed Craft
8918564,Salvage/Rescue Vessel,Other
9797163,Tug,Tug
9848194,Ore Carrier,Cargo
9850252,Heavy Load Carrier,Cargo
9839533,Pilot Vessel,Pilot Vessel
8899976,General Cargo,Cargo
8102268,Bulk Carrier,Cargo
9626974,Bulk Carrier,Cargo
9058921,Oil Products Tanker,Tanker
9996915,General Cargo,Cargo
9454424,Container Ship,Cargo - Hazard A (Major)
8921937,Passenger Ship,Cargo
7703778,General Cargo,Cargo
9262522,Bulk Carrier,Cargo
9494228,Bulk Carrier,Cargo
7390765,Tug,Other
8857564,Fishing Vessel,Fishing
5259412,General Cargo,Cargo
9291353,Bulk Carrier,Cargo
8949941,Ro-Ro/Passenger Ship,Passenger
9362372,Oil/Chemical Tanker,Tanker
9427677,Multi Purpose Offshore Vessel,Other
8011732,Passenger Ship,Passenger
9708590,Bulk Carrier,Cargo
9296298,Container Ship,Cargo - Hazard B
7827380,Tug,Pleasure Craft
9196541,Fishing Vessel,Fishing
1099137,Oil/Chemical Tanker,Tanker - Hazard B
9162863,Tug,Tug
9267675,Vehicles Carrier,Cargo
7525205,Tug,Tug
9557757,Multi Purpose Offshore Vessel,Other
7808621,General Cargo,Cargo
7366855,Multi Purpose Offshore Vessel,Tug
8720852,Ro-Ro Cargo,
9986623,LNG Tanker,Tanker
8635667,Inland Supply Vessel,Local Vessel
6611916,General Cargo,Cargo
8980919,Tug,Tug
9429871,Oil Products Tanker,Tanker
9197363,Heavy Lift Vessel,Cargo
9315666,Tug,Tug
9544774,Bulk Carrier,Cargo
9186053,Tug,Tug
9034236,Oil/Chemical Tanker,Tanker
9573268,Bulk Carrier,Cargo
5380417,Trawler,Fishing
8303939,Oil Products Tanker,
7508996,Tug,Tug
9507350,General Cargo,Cargo
9822451,Floating Storage/Production,Tanker - Hazard D (Recognizable)
1050870,Container Ship,Cargo
9949687,Bulk Carrier,Cargo
9498949,Oil/Chemical Tanker,Tanker
7726782,Suction Dredger,Dredger
7423732,Oil Products Tanker,Tanker
9744295,Yacht,Pleasure Craft
9927328,Research/Survey Vessel,Other
9548158,Oil Products Tanker,Tanker
9176474,General Cargo,Cargo
9675559,Bulk Carrier,Cargo
